,Metodo,Rand,Adjusted_rand,Folkes,Adjusted_mutual_info_score,Completeness_score,Homogeneity_score,Mutual_info_score,Normalized_mutual_info_score,V_measure_score
0,Agglomerative,0.49064453087208065,-0.04147778929112447,0.5595093924355731,0.019534214599101145,0.026955269448086752,0.03029131134541672,0.01952363510641441,0.028526086551679437,0.028526086551679437
1,Spectral,0.5143863315338325,0.029011839258622208,0.5611017187840868,0.0460472888652696,0.04902174888438029,0.05264763380571472,0.033932938059957125,0.05077003549136324,0.05077003549136324
2,Optics,0.44503782821539833,-0.016381962753147617,0.3934699009416199,0.023782958643517094,0.039144202663538304,0.12642093939865798,0.08148198876186924,0.05977884971556332,0.059778849715563326
3,Meanshift,0.6010332617402914,0.0,0.775263349927166,1.2838757398678882e-17,1.0,3.4450665686454913e-16,2.220446049250313e-16,6.890133137290983e-16,6.89013313729098e-16
4,BIRCH,0.576130492831021,-0.033876302777771615,0.7446265436647573,0.015398788747050734,0.06828874559316567,0.013513397440992152,0.008709779437323845,0.022562072965788032,0.022562072965788032
5,Dbscan,0.5385151216114239,-0.05140567897731818,0.6781522558724381,0.06900153346843829,0.10511184964999502,0.06418591161602191,0.04136969519325174,0.07970217492516159,0.0797021749251616
6,Affinity,0.41107950697548423,-0.004119913680625476,0.20207252261785472,0.05024982133068248,0.05489507267741454,0.24357083768322385,0.1569885206772495,0.08959709214739625,0.08959709214739624
7,Knn,0.588049766838877,0.15043270822733418,0.6498018879873203,0.08657787457999024,0.09220072888465097,0.09810224396865772,0.06322976224184883,0.095059980025665,0.095059980025665
