,Metrica,Agglomerative,Spectral,Optics,Meanshift,BIRCH,Dbscan,Affinity,Kmeans
0,completeness_score,0.999999999999999,1,1,1,0.999999999999997,1,1,1
1,fowlkes_mallows_score,0.0117863408275637,0.0116239784969616,0.013312345953388,0.00879760667272045,0.00904764366709109,0.0132175264286357,0.00879760667272045,0.0117863408275637
2,mutual_info_score,0.00301325725421276,0.00285410818234724,0.00458051435090034,0,0.000333356356627145,0.00396219391757597,0,0.00301325725421285
3,rand_score,0.000123041847521806,0.000115440257596017,0.00019963686681435,0,8.92459644108289E-06,0.000194606369372158,0,0.000123041847521806
,Total,0.253730659982324,0.253648381734226,0.254523124292775,0.25219940166818,0.252347481155039,0.254343581678896,0.25219940166818,0.253730659982324
