,Metrica,Agglomerative,Spectral,Optics,Meanshift,BIRCH,Dbscan,Affinity,Kmeans
0,completeness_score,0.999999999999999,0.999999999999999,1,1,0.999999999999999,1,1,0.999999999999999
1,fowlkes_mallows_score,0.00805404680600351,0.007982775786405,0.0101673595534657,0.00622084733649265,0.007982775786405,0.00876165459142956,0.0176749080410067,0.00805404680600351
2,mutual_info_score,0.655694224506129,0.580333615532465,1.68961195391946,0,0.580333615532465,0.846862284834054,2.30827126796721,0.655694224506129
3,rand_score,0.403455815483447,0.392755558135485,0.625684487529266,3.86989415839477E-05,0.392755558135485,0.495926936398289,0.876163386931367,0.403455815483447
,Total,0.516801021698894,0.495267987363588,0.831365950250549,0.251564886569519,0.495267987363588,0.587887718955943,1.0505273907349,0.516801021698894
